vaccinated1,vaccinated2,state,district,confirmed,deceased,recovered,tested,other
387772.0,183553.0,DN,Dadra and Nagar Haveli,5920.0,3.0,5910.0,44813.0,5.0
234202.0,155547.0,DN,Daman,3543.0,1.0,3516.0,19338.0,26.0
38779.0,31153.0,DN,Diu,1218.0,,1218.0,8259.0,
600586.0,424066.0,GA,North Goa,,,,,
661972.0,487016.0,GA,South Goa,,,,,
5961594.0,3439921.0,GJ,Ahmedabad,238334.0,3411.0,234889.0,2556492.0,
927389.0,551970.0,GJ,Amreli,10810.0,102.0,10708.0,212265.0,
1471865.0,935893.0,GJ,Anand,9637.0,49.0,9581.0,171851.0,
717964.0,522361.0,GJ,Aravalli,5186.0,78.0,5108.0,122182.0,
2140492.0,1157901.0,GJ,Banaskantha,13631.0,162.0,13469.0,218527.0,
1217587.0,669742.0,GJ,Bharuch,11426.0,118.0,11308.0,156057.0,
1680398.0,986097.0,GJ,Bhavnagar,21447.0,301.0,21143.0,392834.0,
378232.0,228691.0,GJ,Botad,2218.0,42.0,2176.0,98559.0,
635695.0,420157.0,GJ,Chhota Udaipur,3395.0,38.0,3357.0,93838.0,
1499052.0,631818.0,GJ,Dahod,9955.0,38.0,9917.0,218259.0,
156334.0,59262.0,GJ,Dang,866.0,18.0,848.0,31921.0,
504501.0,309771.0,GJ,Devbhumi Dwarka,4175.0,82.0,4093.0,80424.0,
1175562.0,706208.0,GJ,Gandhinagar,20754.0,205.0,20549.0,292598.0,
845224.0,363467.0,GJ,Gir Somnath,8570.0,67.0,8499.0,121948.0,
1111813.0,653950.0,GJ,Jamnagar,34978.0,478.0,34494.0,307911.0,
1316479.0,733025.0,GJ,Junagadh,20505.0,272.0,20226.0,199699.0,
1454344.0,893742.0,GJ,Kheda,10439.0,48.0,10391.0,218140.0,
1412923.0,680232.0,GJ,Kutch,12631.0,145.0,12474.0,267060.0,
815594.0,459520.0,GJ,Mahisagar,8194.0,72.0,8122.0,122796.0,
1405786.0,869969.0,GJ,Mehsana,24419.0,177.0,24242.0,229904.0,
674000.0,308840.0,GJ,Morbi,6502.0,87.0,6415.0,157321.0,
413260.0,279684.0,GJ,Narmada,5955.0,15.0,5940.0,76134.0,
948673.0,647484.0,GJ,Navsari,7215.0,24.0,7181.0,129099.0,
,,GJ,Other State,162.0,3.0,159.0,108.0,
1105110.0,626003.0,GJ,Panchmahal,11770.0,70.0,11700.0,160981.0,
850462.0,533438.0,GJ,Patan,11624.0,129.0,11495.0,169059.0,
419364.0,256377.0,GJ,Porbandar,3486.0,19.0,3467.0,97912.0,
2227111.0,1255012.0,GJ,Rajkot,57976.0,725.0,57243.0,731251.0,
1000517.0,596705.0,GJ,Sabarkantha,9317.0,157.0,9159.0,182090.0,
4781894.0,2529712.0,GJ,Surat,143874.0,1956.0,141885.0,1938229.0,
1113845.0,715931.0,GJ,Surendranagar,8121.0,136.0,7985.0,201153.0,
527345.0,303297.0,GJ,Tapi,4441.0,24.0,4417.0,92524.0,
2612578.0,1940514.0,GJ,Vadodara,78159.0,788.0,77335.0,695670.0,
1232139.0,704675.0,GJ,Valsad,6405.0,53.0,6308.0,155380.0,
323204.0,234916.0,HP,Bilaspur,14374.0,85.0,14120.0,39738.0,1.0
364258.0,198146.0,HP,Chamba,13687.0,160.0,13492.0,53505.0,2.0
377332.0,269143.0,HP,Hamirpur,17379.0,287.0,16741.0,46407.0,1.0
1182563.0,725754.0,HP,Kangra,50818.0,1125.0,48872.0,94910.0,4.0
79673.0,63209.0,HP,Kinnaur,3507.0,38.0,3465.0,6730.0,
351261.0,203549.0,HP,Kullu,9692.0,158.0,9496.0,12012.0,2.0
31920.0,20986.0,HP,Lahaul and Spiti,2953.0,18.0,2935.0,540.0,
775242.0,479355.0,HP,Mandi,31606.0,448.0,30983.0,41895.0,
678341.0,412640.0,HP,Shimla,27549.0,641.0,26786.0,32922.0,1.0
423793.0,209631.0,HP,Sirmaur,15456.0,211.0,15244.0,42564.0,
691163.0,339630.0,HP,Solan,22817.0,314.0,22472.0,57200.0,
434945.0,286819.0,HP,Una,14268.0,253.0,13804.0,52905.0,2.0
873020.0,571772.0,HR,Ambala,30150.0,509.0,29639.0,206003.0,
741251.0,317765.0,HR,Bhiwani,22409.0,652.0,21757.0,176225.0,
364599.0,262184.0,HR,Charkhi Dadri,5078.0,139.0,4939.0,58525.0,
1658940.0,840997.0,HR,Faridabad,99902.0,716.0,99157.0,504970.0,
574546.0,201763.0,HR,Fatehabad,17875.0,481.0,17394.0,27456.0,
2193114.0,1377160.0,HR,Gurugram,181428.0,922.0,180454.0,742619.0,
994213.0,332162.0,HR,Hisar,53995.0,1136.0,52857.0,322039.0,
684511.0,293496.0,HR,Jhajjar,18849.0,328.0,18514.0,186853.0,
704573.0,250859.0,HR,Jind,21209.0,533.0,20675.0,11157.0,
615168.0,217439.0,HR,Kaithal,11244.0,346.0,10898.0,11687.0,
1000120.0,451876.0,HR,Karnal,40037.0,552.0,39484.0,185147.0,
610380.0,248125.0,HR,Kurukshetra,22147.0,357.0,21789.0,198881.0,
576527.0,264911.0,HR,Mahendragarh,21689.0,155.0,21534.0,143253.0,
354422.0,78081.0,HR,Nuh,5014.0,123.0,4890.0,93389.0,
608874.0,221786.0,HR,Palwal,11025.0,153.0,10872.0,139809.0,
456675.0,279951.0,HR,Panchkula,30770.0,378.0,30379.0,118725.0,
830805.0,273172.0,HR,Panipat,31150.0,638.0,30510.0,58863.0,
648724.0,294989.0,HR,Rewari,20327.0,221.0,20106.0,151363.0,
674649.0,305282.0,HR,Rohtak,25903.0,534.0,25350.0,25894.0,
786205.0,278920.0,HR,Sirsa,29282.0,508.0,28771.0,150193.0,
989125.0,411915.0,HR,Sonipat,47138.0,254.0,46884.0,238963.0,
831598.0,340196.0,HR,Yamunanagar,24631.0,414.0,24215.0,196131.0,
994497.0,333330.0,JH,Bokaro,19461.0,286.0,19170.0,11798.0,
454807.0,126700.0,JH,Chatra,6033.0,53.0,5977.0,,
569167.0,230458.0,JH,Deoghar,10835.0,113.0,10721.0,6951.0,
1185934.0,446946.0,JH,Dhanbad,16589.0,382.0,16196.0,,
638722.0,229944.0,JH,Dumka,4636.0,47.0,4589.0,5400.0,
1424376.0,661091.0,JH,East Singhbhum,51974.0,1046.0,50907.0,,
